month,C,M,yoy_tw_revenue,yoy_us_transformer_imports,yoy_us_switchgear_imports,decision,ruleA,ruleB,ruleM
2016-02-01,0.846210578117769,,0.11687760150154913,0.239553966285182,0.13994762733791588,2016-04-16,False,True,True
2016-03-01,1.0413206552409926,,0.21322143343930633,0.2152522417497036,0.15657447037874261,2016-05-16,False,True,True
2016-04-01,0.9567708460202472,,0.18477564318787598,0.04009366171440387,0.4484888601116017,2016-06-16,False,True,True
2016-05-01,0.17487905681304503,-0.671331521304724,0.19673916756668697,0.013377006232908828,-0.07301014251991644,2016-07-16,False,True,False
2016-06-01,0.2869279462849574,-0.7543927089560352,0.09887011738580731,0.10847736777787853,0.029359127285606634,2016-08-16,False,True,False
2016-07-01,0.14760033833123942,-0.8091705076890078,0.11220290083931572,0.03136250892748449,0.035626443796285656,2016-09-16,False,True,False
2016-08-01,0.5038113191552174,0.3289322623421723,0.14172839731706843,-0.12765224090979832,0.4997019247929948,2016-10-16,True,True,True
2016-09-01,-0.00879881357091672,-0.2957267598558741,0.0834412892223717,-0.23003851058484992,0.4070813927173713,2016-11-16,False,False,True
2016-10-01,-0.5546396243481362,-0.7022399626793756,0.00940792083919928,-0.24748669539859947,0.15784654379076213,2016-12-16,False,False,True
2016-11-01,-0.510308058900015,-1.0141193780552324,0.04424652178473676,-0.16596097837027746,-0.014325458289771498,2017-01-16,False,False,True
2016-12-01,-0.6527285668198379,-0.6439297532489212,0.05000685488012646,-0.08679938368947515,-0.2597915419362279,2017-02-16,False,False,True
2017-01-01,-0.7379492311948747,-0.18330960684673847,-0.02232329246538356,-0.0833662598964594,-0.2004710704987408,2017-03-16,False,False,True
2017-02-01,-1.0379047815971514,-0.5275967226971364,-0.0890969066536943,-0.19973419741047016,-0.12204863802783272,2017-04-16,False,False,True
2017-03-01,-1.004103722713899,-0.351375155894061,-0.08448046069099457,-0.22596043759577522,-0.08678603239497029,2017-05-16,False,False,True
2017-04-01,-0.897485104004021,-0.15953587280914638,-0.039148565043747974,-0.23015763287232593,-0.10898734552451794,2017-06-16,False,False,True
2017-05-01,-0.9166636662008671,0.12124111539628424,-0.07959443994915993,-0.15219259998669887,-0.17211362267700958,2017-07-16,False,False,True
2017-06-01,-1.1685180064656642,-0.16441428375176526,-0.04680725740504943,-0.24386403885424424,-0.2980071915006052,2017-08-16,False,False,True
2017-07-01,-0.5324644036788826,0.36502070032513845,0.028458226426476996,-0.08149686311618343,-0.24363356158193894,2017-09-16,False,False,True
2017-08-01,-0.9131370492135917,0.0035266169872754105,-0.02626242845199611,-0.1911156203113581,-0.25839112479455484,2017-10-16,False,False,True
2017-09-01,-0.23088669947681953,0.9376313069888447,0.009510226356157059,-0.07027257859729708,-0.030436012171161653,2017-11-16,False,False,True
2017-10-01,-0.2121948471273738,0.3202695565515088,0.025003490374024828,-0.15346284012831868,0.0727714260860497,2017-12-16,False,False,True
2017-11-01,0.7878762338938646,1.7010132831074563,0.11927101133532902,-0.05244011793876746,0.45320197629435355,2018-01-16,True,True,True
2017-12-01,1.0659668631492774,1.2968535626260969,0.06890204930402422,-0.036980532721596626,0.8153743012375425,2018-02-16,True,True,True
2018-01-01,1.4534932107720093,1.6656880578993831,0.10036956974450617,-0.03504010883069775,1.2880914124440732,2018-03-16,True,True,True
2018-02-01,0.8068936738587658,0.01901743996490113,0.10785781580443765,-0.03110149190986311,0.6801953852674547,2018-04-16,True,True,True
2018-03-01,0.6747244762031736,-0.3912423869461038,0.10487786660252918,0.0070266305354009795,0.48922766870301526,2018-05-16,False,True,False
