code,month,event_date,ex6,ex12
1101,2013-01-01,2013-02-11,0.05424531170245006,0.16652870727060254
1101,2013-07-01,2013-08-11,0.10436099965519174,0.07548690433615501
1102,2010-12-01,2011-01-11,0.41588177733966847,0.3318667866568453
1102,2011-08-01,2011-09-11,-0.05907015114047742,0.11470079681102319
1102,2013-01-01,2013-02-11,0.017038612202597725,0.0004834487206462068
1102,2013-07-01,2013-08-11,-0.006395364124490044,0.03827519865326612
1103,2012-06-01,2012-07-11,0.029925109969185737,-0.03915499953891932
1103,2013-05-01,2013-06-11,0.061211830878422635,-0.029947813018865954
1103,2013-11-01,2013-12-11,-0.08809701858590957,-0.1332265567511789
1104,2010-01-01,2010-02-11,0.07429031567032696,0.042008081604245184
1104,2013-01-01,2013-02-11,0.2340087365645468,0.9023475760921007
1104,2013-07-01,2013-08-11,0.5552882648049404,0.515104907836841
1108,2013-01-01,2013-02-11,0.14371682375708061,0.2071094561442124
1108,2013-07-01,2013-08-11,0.012879199987430479,-0.003383561094433718
1108,2020-04-01,2020-05-11,0.31698980138228094,0.7140227167415187
1108,2022-10-01,2022-11-11,0.37167191650638554,0.19502043194055307
1109,2011-05-01,2011-06-11,0.1958186972246514,0.1499891742938102
1109,2013-01-01,2013-02-11,0.03421719094677689,0.11768149710647635
1109,2013-07-01,2013-08-11,0.08659692649110995,0.21487780178771398
1110,2012-09-01,2012-10-11,0.006087146652445252,0.13400338146156354
1110,2013-05-01,2013-06-11,0.03375519112997427,-0.17161378081606393
1110,2017-09-01,2017-10-11,-0.10461078205956553,-0.00838106453745413
1110,2021-06-01,2021-07-11,0.12376451296981528,0.28550314942599675
1110,2023-04-01,2023-05-11,-0.08894540668570416,-0.26804512590257645
1110,2024-08-01,2024-09-11,-0.11123999377016713,-0.3873300864543666
1201,2013-01-01,2013-02-11,0.2805281961027396,0.07965785806043924
1201,2013-09-01,2013-10-11,-0.3016069150199986,-0.5315442831745536
1203,2008-12-01,2009-01-11,0.46492131367102907,0.3595533166200795
1203,2013-03-01,2013-04-11,0.13730324191687338,0.05614399595142072
1203,2013-11-01,2013-12-11,-0.21988426611313505,-0.11694952245432555
1210,2013-01-01,2013-02-11,-0.008819609674440398,-0.06790537025069954
1210,2013-07-01,2013-08-11,-0.06589751274101241,0.1866041715128426
1216,2013-01-01,2013-02-11,0.12297004127318034,-0.019926913670094804
1216,2013-10-01,2013-11-11,-0.12567151849322689,-0.0504986458047707
1217,2013-05-01,2013-06-11,-0.13167147172835403,-0.22378136457266262
1220,2014-12-01,2015-01-11,0.00508534004785699,0.1836066684060118
1227,2008-12-01,2009-01-11,-0.2232815151644092,0.13497574829566306
1227,2013-01-01,2013-02-11,0.22682423995924916,0.15015508218963403
1227,2013-07-01,2013-08-11,-0.08802514754107926,-0.2070311048891097
1229,2019-06-01,2019-07-11,-0.053451945112755084,0.11794014079024473
1229,2020-02-01,2020-03-11,0.16665130560746655,-0.05515554963441138
1231,2010-11-01,2010-12-11,0.26816043016445557,0.5287391751374969
1231,2011-05-01,2011-06-11,0.25009975846372534,0.241669428434236
1232,2008-02-01,2008-03-11,0.07381173404350017,0.1390529544980168
1234,2011-01-01,2011-02-11,0.45283456211014295,0.20935338447351493
1234,2016-06-01,2016-07-11,-0.03816110085495339,-0.11367031059790134
1236,2010-03-01,2010-04-11,0.16025593648429814,0.039894672683274957
1236,2011-06-01,2011-07-11,0.1783753404448507,0.23722572028587408
1236,2011-12-01,2012-01-11,0.056675172539662144,-0.008417636562179753
1236,2013-03-01,2013-04-11,0.16755047633458364,0.07144224877243044
1236,2022-05-01,2022-06-11,-0.10831654644331945,-0.25334979481248454
1259,2022-08-01,2022-09-11,-0.0048852123462959085,-0.06347016202195443
1264,2021-03-01,2021-04-11,0.23065055477790408,0.12047254134603369
1268,2021-04-01,2021-05-11,-0.06686187693696899,-0.12218886488665415
1268,2022-07-01,2022-08-11,0.2948324783698608,0.44414103727740994
1268,2023-06-01,2023-07-11,-0.04622836607892289,-0.37203158542100256
1301,2008-02-01,2008-03-11,-0.0784869133004441,0.06584882475252773
1301,2010-01-01,2010-02-11,0.0587622376249024,0.4705148473917653
1301,2021-03-01,2021-04-11,0.19180429175931457,0.03619922330418435
1303,2010-01-01,2010-02-11,-0.033592171720959074,0.31562026030994206
1303,2013-06-01,2013-07-11,0.06122652521149097,0.06795253663296097
1303,2021-05-01,2021-06-11,-0.015349977168090279,0.06764069377648652
1304,2013-01-01,2013-02-11,-0.061643820239024816,-0.16980740484936852
1304,2013-07-01,2013-08-11,-0.07924574649801908,-0.38041383588790845
1305,2008-02-01,2008-03-11,0.13191900984173255,0.21238965192669046
1305,2010-01-01,2010-02-11,-0.09668330514380596,-0.04359650501128631
1305,2013-03-01,2013-04-11,0.3237483667850114,0.044522693349776654
1305,2013-12-01,2014-01-11,-0.16804834378148947,-0.18763429539559284
1305,2021-05-01,2021-06-11,0.010867455204263576,0.04751911005055287
1307,2010-05-01,2010-06-11,-0.06879931247474369,-0.10445246029548927
1307,2013-03-01,2013-04-11,0.12048892094387464,0.15769631138070017
1307,2013-11-01,2013-12-11,-0.0270104909461506,0.06410155869092993
1307,2022-08-01,2022-09-11,-0.07152978663283871,0.12362294307820743
1308,2013-11-01,2013-12-11,-0.1323863702006729,-0.2643194919307902
1308,2021-05-01,2021-06-11,0.1749144986981528,0.026591403331638563
1308,2021-11-01,2021-12-11,-0.0847031276635889,0.04007937712791765
1309,2009-10-01,2009-11-11,-0.13874485694552963,-0.1185865033237471
1309,2013-03-01,2013-04-11,0.3500463245854033,0.07105987412672232
1309,2013-09-01,2013-10-11,-0.21408280042998296,-0.38711392923926513
1310,2009-12-01,2010-01-11,-0.05698253403238607,-0.09586415670444992
1310,2021-05-01,2021-06-11,-0.18704453993981096,-0.15441205373759392
1312,2009-11-01,2009-12-11,-0.1593342210920301,0.007037484209558409
1312,2025-03-01,2025-04-11,-0.38813491748188134,-0.5660983870111111
1312,2025-11-01,2025-12-11,-0.4460741455549453,
1313,2009-12-01,2010-01-11,0.019286297354132564,0.316247122159238
1313,2013-01-01,2013-02-11,-0.1133944222458595,-0.18132711753520314
1313,2013-07-01,2013-08-11,-0.08409853263083888,-0.29472554175820664
1314,2009-11-01,2009-12-11,0.37607588914306966,1.2981607885731923
1314,2021-05-01,2021-06-11,-0.09574454609855854,-0.10696828852036833
1314,2024-01-01,2024-02-11,-0.1383286766072347,-0.4112797778356483
1315,2013-05-01,2013-06-11,-0.03761252028906603,-0.1612414327334335
1315,2022-05-01,2022-06-11,0.053651838247927075,-0.07624240079990174
1316,2013-03-01,2013-04-11,-0.08712388981956898,-0.05986060039059771
1316,2017-11-01,2017-12-11,-0.1216421837552697,-0.2893164923230448
1316,2020-06-01,2020-07-11,-0.43425490590343174,-0.5494387161555232
1319,2009-11-01,2009-12-11,-0.20058057652949024,-0.3628909854253879
1319,2010-11-01,2010-12-11,-0.23984747266442574,-0.05654195202939005
1319,2013-03-01,2013-04-11,0.6746615564189875,0.4835670295682555
1319,2013-12-01,2014-01-11,-0.17909850835761165,-0.1376118177055633
1321,2010-01-01,2010-02-11,0.02267845781907951,-0.14017889378432624
1321,2013-06-01,2013-07-11,-0.042766309003767544,-0.05281798670205107
1321,2021-03-01,2021-04-11,-0.08666242121843915,-0.09647802122723814
1323,2013-01-01,2013-02-11,0.889990917115223,0.9240590556958752
1323,2013-07-01,2013-08-11,-0.13092936537960365,-0.3448714855853925
1324,2010-01-01,2010-02-11,0.3180863485642047,-0.08758849220562892
1325,2020-03-01,2020-04-11,1.1544092174902476,0.03658458712027346
1325,2020-09-01,2020-10-11,-0.5834272005029114,-0.8934539558168453
1326,2008-02-01,2008-03-11,-0.012298848691311481,-0.003586930511187414
1326,2010-01-01,2010-02-11,0.0244872032690322,0.4661023531784334
1326,2013-08-01,2013-09-11,-0.128847757493176,-0.21104626278442207
1326,2021-05-01,2021-06-11,-0.07431068771963412,0.035093769791452956
1336,2010-08-01,2010-09-11,-0.011863210074457342,-0.22521035682901114
1336,2013-02-01,2013-03-11,-0.04499078031983228,0.3079243241740859
1336,2013-08-01,2013-09-11,0.36429266886190903,0.5459172242702672
1339,2014-04-01,2014-05-11,0.512711887247161,0.2752168337065888
1339,2015-06-01,2015-07-11,-0.19521416172892414,-0.44182207655536265
1342,2026-08-01,2026-09-11,,
1402,2013-01-01,2013-02-11,-0.022557421873107386,-0.08215264836687886
1402,2013-07-01,2013-08-11,-0.06330015511350262,-0.0927366773646483
1409,2010-01-01,2010-02-11,0.2267821390796323,0.28844654919588875
1409,2013-05-01,2013-06-11,0.055624276016819296,-0.04245572712122869
1409,2013-11-01,2013-12-11,-0.09438627608934969,-0.0007351522080518702
1409,2021-05-01,2021-06-11,-0.058150449084761635,-0.0008337460735440283
1413,2009-12-01,2010-01-11,0.030775977016521794,0.6862709038672838
1413,2017-03-01,2017-04-11,0.19800901928723014,1.106115645169718
1413,2021-04-01,2021-05-11,-0.34263591399902704,-0.2659120998027763
1414,2010-01-01,2010-02-11,0.3303019366756452,2.631163749641795
1416,2014-12-01,2015-01-11,-0.06710833281390627,0.033323991808728914
1416,2016-04-01,2016-05-11,0.0010879821523339661,-0.02976669014238298
1417,2012-02-01,2012-03-11,0.04976238578251568,-0.14715103766474558
1417,2013-03-01,2013-04-11,-0.04577711414150554,-0.18191941187588445
1417,2013-11-01,2013-12-11,-0.12178373522858887,-0.17679646462383092
1417,2021-05-01,2021-06-11,-0.07917419158243133,-0.2018708351020181
