month,C,M,yoy_tw_revenue,decision,ruleA,ruleB
2017-02-01,1.307411933519674,,0.11412694803942092,2017-03-16,False,True
2017-03-01,1.516292928524427,,0.1414508537393675,2017-04-16,False,True
2017-04-01,1.6007986857654952,,0.1597770644890446,2017-05-16,False,True
2017-05-01,1.6516381375508704,0.3442262040311963,0.1761840904804286,2017-06-16,True,True
2017-06-01,1.6367019790454722,0.12040905052104511,0.18625239002244864,2017-07-16,True,True
2017-07-01,1.6640078698869976,0.06320918412150234,0.20085663902047712,2017-08-16,True,True
2017-08-01,1.3936243213395352,-0.25801381621133523,0.18106648648981838,2017-09-16,False,True
2017-09-01,1.3463092879839258,-0.2903926910615464,0.18302275526321332,2017-10-16,False,True
2017-10-01,1.2567643823073775,-0.40724348757962003,0.17934466008608285,2017-11-16,False,True
2017-11-01,1.3760039842356113,-0.017620337103923855,0.1988600702003711,2017-12-16,False,True
2017-12-01,1.2702660466000921,-0.07604324138383367,0.1931156291502889,2018-01-16,False,True
2018-01-01,1.323747825866445,0.06698344355906749,0.20498081332488116,2018-02-16,True,True
2018-02-01,1.0210032496196915,-0.35500073461591986,0.1750431018935268,2018-03-16,False,True
2018-03-01,1.0523415018622755,-0.21792454473781664,0.18194122462637208,2018-04-16,False,True
2018-04-01,1.246827323173116,-0.07692050269332906,0.20827484715903677,2018-05-16,False,True
2018-05-01,1.7875726357703225,0.7665693861506311,0.2801886588656195,2018-06-16,True,True
2018-06-01,1.7827409483971421,0.7303994465348667,0.2914087671261125,2018-07-16,True,True
2018-07-01,1.5637252574116793,0.3168979342385634,0.2738951188032446,2018-08-16,True,True
2018-08-01,1.2783242992895083,-0.5092483364808142,0.24457000740000878,2018-09-16,False,True
2018-09-01,0.7597771289118513,-1.0229638194852908,0.183203402347194,2018-10-16,False,True
2018-10-01,0.5793656425614351,-0.9843596148502443,0.16243563849721565,2018-11-16,False,True
2018-11-01,-0.44499885903320047,-1.7233231583227089,0.03864642362861037,2018-12-16,False,False
2018-12-01,-1.3864419911906387,-2.14621912010249,-0.07897942483572007,2019-01-16,False,False
2019-01-01,-1.8789331351890899,-2.458298777750525,-0.15018013394089236,2019-02-16,False,False
2019-02-01,-2.0832490660342105,-1.6382502070010099,-0.19144850816592873,2019-03-16,False,False
2019-03-01,-2.2356424179736134,-0.8492004267829747,-0.23084787997703082,2019-04-16,False,False
2019-04-01,-2.3467577124442105,-0.4678245772551206,-0.269077248136137,2019-05-16,False,False
2019-05-01,-2.2866624191337,-0.2034133530994895,-0.2827273433983779,2019-06-16,False,False
2019-06-01,-2.114025188281857,0.12161722969175637,-0.27526776895720817,2019-07-16,False,False
2019-07-01,-1.8195149846591965,0.527242727785014,-0.2421339180179951,2019-08-16,False,False
2019-08-01,-1.5069500639611104,0.7797123551725895,-0.2003680278077551,2019-09-16,False,False
2019-09-01,-1.0913456017571121,1.0226795865247449,-0.13745477561835284,2019-10-16,False,False
2019-10-01,-1.116700750829333,0.7028142338298635,-0.14523291162817598,2019-11-16,False,False
2019-11-01,-0.9024674993951954,0.604482564565915,-0.11315707984986678,2019-12-16,False,False
2019-12-01,-0.6875093828907325,0.40383621886637966,-0.08007593587221529,2020-01-16,False,False
2020-01-01,0.012072453218306769,1.1287732040476397,0.03170475525187344,2020-02-16,True,True
2020-02-01,0.6154611236726701,1.5179286230678657,0.1283978527656746,2020-03-16,True,True
2020-03-01,1.2323016675583187,1.9198110504490513,0.22972858389892759,2020-04-16,True,True
2020-04-01,1.7239275490810746,1.7118550958627679,0.31680452427362327,2020-05-16,True,True
2020-05-01,1.3735832960606111,0.758122172387941,0.2656718458994287,2020-06-16,True,True
2020-06-01,0.8025389105056866,-0.4297627570526321,0.17472905148387885,2020-07-16,False,True
2020-07-01,0.35206385898166576,-1.3718636900994088,0.10234283444077441,2020-08-16,False,True
2020-08-01,-0.14935041170515237,-1.5229337077657634,0.021594501047018655,2020-09-16,False,False
2020-09-01,0.04173169345842827,-0.7608072170472583,0.05211376522902689,2020-10-16,False,True
2020-10-01,0.32104537725381826,-0.03101848172784749,0.09672670791577942,2020-11-16,False,True
2020-11-01,0.8107613819561379,0.9601117936612903,0.1752569853680792,2020-12-16,True,True
2020-12-01,0.903482621957804,0.8617509284993757,0.1916671360222475,2021-01-16,True,True
2021-01-01,1.3120272312282193,0.9909818539744011,0.2597156255085038,2021-02-16,True,True
2021-02-01,1.3979838100734798,0.5872224281173419,0.2779320722824874,2021-03-16,True,True
2021-03-01,1.281769253039683,0.3782866310818789,0.2633000146129907,2021-04-16,True,True
2021-04-01,1.5041406895222666,0.19211345829404736,0.3042219809475257,2021-05-16,True,True
2021-05-01,2.0289735262047364,0.6309897161312565,0.4004324546590805,2021-06-16,True,True
2021-06-01,2.5660331646500225,1.2842639116103396,0.5117257146365586,2021-07-16,True,True
2021-07-01,2.6276303078986047,1.123489618376338,0.5475489728943281,2021-08-16,True,True
2021-08-01,2.6792598505190584,0.650286324314322,0.5842615180189266,2021-09-16,True,True
2021-09-01,1.9623752180675018,-0.6036579465825207,0.46264152362844047,2021-10-16,False,True
2021-10-01,1.54104201619345,-1.0865882917051548,0.38907923275508205,2021-11-16,False,True
2021-11-01,1.1349838051964145,-1.5442760453226438,0.31444865089157137,2021-12-16,False,True
2021-12-01,1.1589239081076708,-0.803451309959831,0.3222963155095171,2022-01-16,False,True
2022-01-01,0.9291877585307845,-0.6118542576626654,0.28014895471317924,2022-02-16,False,True
2022-02-01,0.724410323825233,-0.41057348137118155,0.24207002945952105,2022-03-16,False,True
2022-03-01,0.4576965450419163,-0.7012273630657544,0.19158340823751474,2022-04-16,False,True
2022-04-01,0.001193010882887841,-0.9279947476478967,0.1045137339633917,2022-05-16,False,True
2022-05-01,-0.549830597892327,-1.2742409217175599,-0.0007496547629047834,2022-06-16,False,False
2022-06-01,-0.8681498449868933,-1.3258463900288096,-0.06251670739296522,2022-07-16,False,False
2022-07-01,-1.2261273182973202,-1.2273203291802082,-0.13335404083258962,2022-08-16,False,False
2022-08-01,-1.53551393586996,-0.9856833379776331,-0.19747425716341238,2022-09-16,False,False
2022-09-01,-1.8107969173002816,-0.9426470723133883,-0.2584244716138133,2022-10-16,False,False
2022-10-01,-1.995639868839766,-0.7695125505424458,-0.30509208551081946,2022-11-16,False,False
2022-11-01,-2.0732899679702226,-0.5377760321002625,-0.33256539417312236,2022-12-16,False,False
2022-12-01,-2.15901095622739,-0.34821403892710845,-0.36346694397602664,2023-01-16,False,False
2023-01-01,-2.265850675700242,-0.2702108068604758,-0.40114152330318265,2023-02-16,False,False
2023-02-01,-2.2719212265822515,-0.1986312586120289,-0.4185579877188865,2023-03-16,False,False
2023-03-01,-2.223452812325728,-0.06444185609833797,-0.4235824861094756,2023-04-16,False,False
2023-04-01,-2.0638046436615496,0.2020460320386923,-0.401378375858749,2023-05-16,False,False
2023-05-01,-1.950996873312033,0.3209243532702184,-0.38728339944878654,2023-06-16,False,False
2023-06-01,-1.8490384375957338,0.37441437472999417,-0.373855380968071,2023-07-16,False,False
2023-07-01,-1.6413850327870207,0.42241961087452884,-0.3334511173790591,2023-08-16,False,False
2023-08-01,-1.3205965320402056,0.6304003412718275,-0.2636230937294517,2023-09-16,False,False
2023-09-01,-0.9580280121031477,0.8910104254925861,-0.18173312727078816,2023-10-16,False,False
2023-10-01,-0.5223621316869258,1.119022901100095,-0.0815960022802732,2023-11-16,False,False
2023-11-01,-0.17984822037013004,1.1407483116700754,-0.002769489756678012,2023-12-16,False,False
2023-12-01,0.15095322242891443,1.1089812345320622,0.07336920101110689,2024-01-16,True,True
2024-01-01,0.6272542154949788,1.1496163471819045,0.18318509768852986,2024-02-16,True,True
2024-02-01,0.8139308364669091,0.9937790568370392,0.22717714766643682,2024-03-16,True,True
