month,C,M,z_tw_revenue,z_korea_mem_exports,decision,ruleM,ruleA,ruleB
2008-02-01,-1.654007137521359,,-1.654007137521359,,2008-03-16,True,False,False
2008-03-01,-1.4817923770496229,,-1.4817923770496229,,2008-04-16,True,False,False
2008-04-01,-1.307023904346869,,-1.307023904346869,,2008-05-16,True,False,False
2008-05-01,-1.0922091903737856,0.5617979471475734,-1.0922091903737856,,2008-06-16,True,False,False
2008-06-01,-0.8494993672099339,0.632293009839689,-0.8494993672099339,,2008-07-16,True,False,False
2008-07-01,-0.9038577554011313,0.40316614894573766,-0.9038577554011313,,2008-08-16,True,False,False
2008-08-01,-0.9840459545521135,0.10816323582167209,-0.9840459545521135,,2008-09-16,True,False,False
2008-09-01,-0.968808352043451,-0.11930898483351704,-0.968808352043451,,2008-10-16,True,False,False
2008-10-01,-0.9034907290603399,0.00036702634079144314,-0.9034907290603399,,2008-11-16,True,False,False
2008-11-01,-1.0304208727138344,-0.0463749181617209,-1.0304208727138344,,2008-12-16,True,False,False
2008-12-01,-1.0956042150392429,-0.12679586299579193,-1.0956042150392429,,2009-01-16,True,False,False
2009-01-01,-1.250522735036033,-0.34703200597569317,-1.250522735036033,,2009-02-16,True,False,False
2009-02-01,-0.9493152842402819,0.08110558847355254,-0.9493152842402819,,2009-03-16,True,False,False
2009-03-01,-0.8281169767713031,0.26748723826793974,-0.8281169767713031,,2009-04-16,True,False,False
2009-04-01,-0.5611597458572033,0.6893629891788298,-0.5611597458572033,,2009-05-16,True,False,False
2009-05-01,-0.6115508252205165,0.3377644590197654,-0.6115508252205165,,2009-06-16,True,False,False
2009-06-01,-0.52461141957151,0.3035055571997931,-0.52461141957151,,2009-07-16,True,False,False
2009-07-01,-0.4392851534128926,0.1218745924443107,-0.4392851534128926,,2009-08-16,True,False,False
2009-08-01,-0.17386266355038027,0.43768816167013624,-0.17386266355038027,,2009-09-16,True,False,False
2009-09-01,0.3071994962217871,0.8318109157932971,0.3071994962217871,,2009-10-16,True,True,True
2009-10-01,0.7830435281015111,1.2223286815144037,0.7830435281015111,,2009-11-16,True,True,True
2009-11-01,1.6934468921615082,1.8673095557118886,1.6934468921615082,,2009-12-16,True,True,True
2009-12-01,2.1757872736777313,1.8685877774559443,2.1757872736777313,,2010-01-16,True,True,True
2010-01-01,2.5618489956747625,1.7788054675732514,2.5618489956747625,,2010-02-16,True,True,True
2010-02-01,1.784513397018498,0.09106650485698986,1.784513397018498,,2010-03-16,True,True,True
2010-03-01,1.6461081276734266,-0.5296791460043047,1.6461081276734266,,2010-04-16,False,False,True
2010-04-01,1.2369350660459175,-1.324913929628845,1.2369350660459175,,2010-05-16,False,False,True
2010-05-01,1.281848599283674,-0.5026647977348242,1.281848599283674,,2010-06-16,False,False,True
2010-06-01,1.0173003314894922,-0.6288077961839345,1.0173003314894922,,2010-07-16,False,False,True
2010-07-01,0.8581930656092113,-0.37874200043670625,0.8581930656092113,,2010-08-16,False,False,True
2010-08-01,0.5000356225005906,-0.7818129767830833,0.5000356225005906,,2010-09-16,False,False,True
2010-09-01,-0.03480451205745483,-1.0521048435469469,-0.03480451205745483,,2010-10-16,True,False,False
2010-10-01,-0.4826323363968469,-1.3408254020060582,-0.4826323363968469,,2010-11-16,True,False,False
2010-11-01,-0.8073655996910608,-1.3074012221916513,-0.8073655996910608,,2010-12-16,True,False,False
2010-12-01,-0.8668436591965074,-0.8320391471390526,-0.8668436591965074,,2011-01-16,True,False,False
2011-01-01,-0.7972051289761972,-0.31457279257935034,-0.7972051289761972,,2011-02-16,True,False,False
2011-02-01,-0.6906239866804037,0.11674161301065711,-0.6906239866804037,,2011-03-16,True,False,False
2011-03-01,-0.7414621058826619,0.12538155331384548,-0.7414621058826619,,2011-04-16,True,False,False
2011-04-01,-0.7264370212773013,0.07076810769889597,-0.7264370212773013,,2011-05-16,True,False,False
2011-05-01,-0.747726430048743,-0.05710244336833925,-0.747726430048743,,2011-06-16,True,False,False
2011-06-01,-0.8232969020132723,-0.0818347961306104,-0.8232969020132723,,2011-07-16,True,False,False
2011-07-01,-0.9580504316655969,-0.23161341038829564,-0.9580504316655969,,2011-08-16,True,False,False
2011-08-01,-1.0321082750464725,-0.28438184499772956,-1.0321082750464725,,2011-09-16,True,False,False
2011-09-01,-0.9699340609920816,-0.14663715897880925,-0.9699340609920816,,2011-10-16,True,False,False
2011-10-01,-0.7521090722692675,0.2059413593963294,-0.7521090722692675,,2011-11-16,True,False,False
2011-11-01,-0.562641419391716,0.46946685565475654,-0.562641419391716,,2011-12-16,True,False,False
2011-12-01,-0.5263125310844982,0.4436215299075834,-0.5263125310844982,,2012-01-16,True,False,False
2012-01-01,-0.717545602622376,0.0345634696468915,-0.717545602622376,,2012-02-16,True,False,False
2012-02-01,-0.6739911617156953,-0.11134974232397932,-0.6739911617156953,,2012-03-16,True,False,False
2012-03-01,-0.6347714183923444,-0.10845888730784625,-0.6347714183923444,,2012-04-16,True,False,False
2012-04-01,-0.5383254941267379,0.17922010849563808,-0.5383254941267379,,2012-05-16,True,False,False
2012-05-01,-0.558577299131434,0.11541386258426134,-0.558577299131434,,2012-06-16,True,False,False
2012-06-01,-0.3586489833291957,0.2761224350631487,-0.3586489833291957,,2012-07-16,True,False,False
2012-07-01,-0.14631871622762793,0.39200677789911,-0.14631871622762793,,2012-08-16,True,False,False
2012-08-01,-0.15851942734562371,0.4000578717858102,-0.15851942734562371,,2012-09-16,True,False,False
2012-09-01,-0.2983885799295121,0.06026040339968358,-0.2983885799295121,,2012-10-16,True,False,False
2012-10-01,-0.4638639763910068,-0.31754526016337886,-0.4638639763910068,,2012-11-16,True,False,False
2012-11-01,-0.47132495402716035,-0.3128055266815366,-0.47132495402716035,,2012-12-16,True,False,False
2012-12-01,-0.4819418141873161,-0.18355323425780395,-0.4819418141873161,,2013-01-16,True,False,False
2013-01-01,-0.24064825798259237,0.22321571840841442,-0.24064825798259237,,2013-02-16,True,False,False
