month,8542,854232
2013-01-01,3318003342.0,1157681499.0
2013-02-01,3215524510.0,1269435083.0
2013-03-01,3761990981.0,1672857502.0
2013-04-01,3431679612.0,1748201273.0
2013-05-01,3958353422.0,1850173331.0
2013-06-01,3748868114.0,2062011196.0
2013-07-01,3911117170.0,1979566463.0
2013-08-01,4107570997.0,1947981450.0
2013-09-01,4607173181.0,2033864166.0
2013-10-01,4546739481.0,2052050293.0
2013-11-01,4205762771.0,2016066150.0
2013-12-01,4305261793.0,2173700154.0
2014-01-01,3819829297.0,2059902423.0
2014-02-01,3626641268.0,1944434235.0
2014-03-01,4277111892.0,2316343273.0
2014-04-01,3990769522.0,2254907376.0
2014-05-01,4050899133.0,2380415410.0
2014-06-01,4294993541.0,2537504196.0
2014-07-01,3980781089.0,2492724941.0
2014-08-01,4326912017.0,2647740169.0
2014-09-01,4819684971.0,2615113238.0
2014-10-01,4926242983.0,2543588874.0
2014-11-01,4743462365.0,2586256717.0
2014-12-01,4686545416.0,2470601053.0
2015-01-01,4246419361.0,2318607334.0
2015-02-01,3817635075.0,2167058965.0
2015-03-01,4383367160.0,2277820086.0
2015-04-01,4272164574.0,2271381967.0
2015-05-01,4266424297.0,2205636569.0
2015-06-01,4302402411.0,2356138421.0
2015-07-01,4239047388.0,2460126838.0
2015-08-01,4575512793.0,2647249188.0
2015-09-01,4957510704.0,2840290304.0
2015-10-01,4710801914.0,2637244344.0
2015-11-01,4387909441.0,2412625061.0
2016-01-01,3755800759.0,2156461002.0
2016-02-01,3451487070.0,2025547512.0
2016-03-01,4403043333.0,2439617480.0
2016-04-01,3797744712.0,2177612566.0
2016-05-01,4004915198.0,2466401136.0
2016-06-01,4383322441.0,2603571925.0
2016-07-01,4222263386.0,2498538643.0
2016-08-01,4780632640.0,2880879412.0
2016-09-01,4811226592.0,2937627865.0
2016-10-01,4704878249.0,2908815606.0
2016-11-01,4962012990.0,3194121843.0
2016-12-01,5002926076.0,3323112490.0
2017-01-01,5546707111.0,3687690588.0
2017-02-01,5636165443.0,3828263936.0
2017-03-01,6616218140.0,4502932316.0
2017-04-01,6233252794.0,4267231193.0
2017-05-01,6564894832.0,4383061887.0
2017-06-01,7013438370.0,4956572051.0
2017-07-01,6895110491.0,4613695938.0
2017-08-01,7590121026.0,5321652759.0
2017-09-01,8432621840.0,5889957873.0
2017-10-01,8449566770.0,6306582436.0
2017-11-01,8527311108.0,6257527821.0
2017-12-01,8597743759.0,6491739085.0
2018-01-01,8553521949.0,6220288563.0
2018-02-01,7974256089.0,5967565938.0
2018-03-01,9657374201.0,7416596813.0
2018-04-01,8570246494.0,6276033892.0
2018-05-01,9434800836.0,7291705540.0
2018-06-01,9645335833.0,7516683931.0
2018-07-01,9052742064.0,6720334021.0
2018-08-01,10097410874.0,7704600058.0
2018-09-01,10984395121.0,8677952419.0
2018-10-01,10030449127.0,7711390847.0
2018-11-01,8786746326.0,6600994294.0
2018-12-01,6989097418.0,4944099660.0
2019-01-01,6178164083.0,3999219559.0
2019-02-01,5695098342.0,3811011373.0
2019-03-01,7481027693.0,5464475965.0
2019-04-01,7124798500.0,4984560463.0
2019-05-01,6238358071.0,4380814806.0
2019-06-01,7025615845.0,5003658815.0
2019-07-01,6397856636.0,4107756283.0
2019-08-01,6793208180.0,4434514395.0
2019-09-01,7187461698.0,4732246780.0
2019-10-01,6669669778.0,4196110869.0
2019-11-01,6207504164.0,4048576955.0
2019-12-01,6077768437.0,3998808167.0
2020-01-01,6116206443.0,3586632780.0
2020-02-01,6265463890.0,3864270231.0
2020-03-01,7222833395.0,4547406951.0
2020-04-01,5735664036.0,3867027492.0
2020-05-01,6634491326.0,4676079156.0
2020-06-01,6725176567.0,4562631281.0
2020-07-01,6634878478.0,4159848584.0
2020-08-01,7032611649.0,4301428807.0
2020-09-01,7844778643.0,4976137260.0
2020-10-01,7453429971.0,4612887933.0
2020-11-01,7363796097.0,4362092236.0
2020-12-01,7855024929.0,4841979587.0
2021-01-01,7369203435.0,4432808695.0
2021-02-01,7197468873.0,4475772497.0
2021-03-01,8142640750.0,5213678446.0
2021-04-01,7884261059.0,4918901605.0
2021-05-01,8663511287.0,5616592342.0
2021-06-01,9512805404.0,6347070981.0
2021-07-01,9272408332.0,5902214901.0
2021-08-01,10034267633.0,6444265654.0
2021-09-01,10527184947.0,6746949710.0
2021-10-01,9618444863.0,5858840418.0
2021-11-01,10328897846.0,6391585662.0
2021-12-01,10745587238.0,6828534550.0
2022-01-01,9440305237.0,5540303052.0
2022-02-01,8957654802.0,5312902987.0
2022-03-01,11267854599.0,6778292305.0
2022-04-01,9369478567.0,5328852016.0
2022-05-01,9904710624.0,6038449580.0
2022-06-01,10612180265.0,6402474068.0
2022-07-01,9987955505.0,5270134450.0
2022-08-01,9664679396.0,4967317435.0
2022-09-01,9874238489.0,5337766717.0
2022-10-01,8377035561.0,3963442928.0
2022-11-01,7686485971.0,3430391029.0
2022-12-01,7704581473.0,3407362138.0
2023-01-01,5424534041.0,2490437636.0
2023-02-01,5329421490.0,2611222804.0
2023-03-01,7405307700.0,3742664196.0
2023-04-01,5762709034.0,2620417180.0
2023-05-01,6687921008.0,3024480517.0
2023-06-01,7832258127.0,4033803890.0
2023-07-01,6543938291.0,3052040144.0
2023-08-01,7712698895.0,3727057608.0
2023-09-01,8438818525.0,4265429548.0
2023-10-01,7829558077.0,3750564910.0
2023-11-01,8163008110.0,4260883659.0
2023-12-01,9004381772.0,5314815425.0
2024-01-01,8203888690.0,4537021212.0
2024-02-01,8619440764.0,5176639915.0
2024-03-01,9582279389.0,5765592551.0
2024-04-01,8623164692.0,4896711483.0
2024-05-01,9814340738.0,5714466095.0
2024-06-01,11217510055.0,7055050042.0
2024-07-01,9734763828.0,5804491763.0
2024-08-01,10133553200.0,6034933835.0
2024-09-01,11327044992.0,6926348924.0
2024-10-01,10837726804.0,6220656370.0
2024-11-01,10423527651.0,6443621669.0
2024-12-01,11672044281.0,7444169908.0
2025-01-01,8268989656.0,4765687489.0
2025-02-01,8112391734.0,4725936715.0
2025-03-01,10455177574.0,6694283585.0
2025-04-01,9775948355.0,5761054144.0
2025-05-01,11574556621.0,7337463885.0
2025-06-01,12255310096.0,8230251105.0
2025-07-01,12288713721.0,7560781209.0
2025-08-01,12615814759.0,8504645011.0
2025-09-01,13623717419.0,9345974750.0
2025-10-01,13175851662.0,8886616348.0
2025-11-01,13954468154.0,10163661372.0
2025-12-01,16726109703.0,12636909750.0
