month,hs,usd
2017-01-01,850423,31730000
2017-01-01,850760,254494000
2017-01-01,8542,5546707000
2017-01-01,854232,3687691000
2017-02-01,850423,59589000
2017-02-01,850760,268543000
2017-02-01,8542,5636165000
2017-02-01,854232,3828264000
2017-03-01,850423,61314000
2017-03-01,850760,282880000
2017-03-01,8542,6616218000
2017-03-01,854232,4502932000
2017-04-01,850423,56783000
2017-04-01,850760,273736000
2017-04-01,8542,6233253000
2017-04-01,854232,4267231000
2017-05-01,850423,54778000
2017-05-01,850760,315605000
2017-05-01,8542,6564895000
2017-05-01,854232,4383062000
2017-06-01,850423,80421000
2017-06-01,850760,274069000
2017-06-01,8542,7013438000
2017-06-01,854232,4956572000
2017-07-01,850423,30217000
2017-07-01,850760,292831000
2017-07-01,8542,6895110000
2017-07-01,854232,4613696000
2017-08-01,850423,57600000
2017-08-01,850760,328333000
2017-08-01,8542,7590121000
2017-08-01,854232,5321653000
2017-09-01,850423,37858000
2017-09-01,850760,315782000
2017-09-01,8542,8432622000
2017-09-01,854232,5889958000
2017-10-01,850423,27986000
2017-10-01,850760,284646000
2017-10-01,8542,8449567000
2017-10-01,854232,6306582000
2017-11-01,850423,65773000
2017-11-01,850760,305127000
2017-11-01,8542,8527311000
2017-11-01,854232,6257528000
2017-12-01,850423,91962000
2017-12-01,850760,321587000
2017-12-01,8542,8597744000
2017-12-01,854232,6491739000
2018-01-01,850423,25477000
2018-01-01,850760,353559000
2018-01-01,8542,8553522000
2018-01-01,854232,6220289000
2018-02-01,850423,26012000
2018-02-01,850760,303982000
2018-02-01,8542,7974256000
2018-02-01,854232,5967566000
2018-03-01,850423,52728000
2018-03-01,850760,354784000
2018-03-01,8542,9657374000
2018-03-01,854232,7416597000
2018-04-01,850423,27548000
2018-04-01,850760,342160000
2018-04-01,8542,8570246000
2018-04-01,854232,6276034000
2018-05-01,850423,37910000
2018-05-01,850760,357093000
2018-05-01,8542,9434801000
2018-05-01,854232,7291706000
2018-06-01,850423,48132000
2018-06-01,850760,339175000
2018-06-01,8542,9645336000
2018-06-01,854232,7516684000
2018-07-01,850423,12925000
2018-07-01,850760,384465000
2018-07-01,8542,9052742000
2018-07-01,854232,6720334000
2018-08-01,850423,17980000
2018-08-01,850760,393350000
2018-08-01,8542,10097411000
2018-08-01,854232,7704600000
2018-09-01,850423,51373000
2018-09-01,850760,346513000
2018-09-01,8542,10984395000
2018-09-01,854232,8677952000
2018-10-01,850423,14567000
2018-10-01,850760,432405000
2018-10-01,8542,10030449000
2018-10-01,854232,7711391000
2018-11-01,850423,31701000
2018-11-01,850760,421057000
2018-11-01,8542,8786746000
2018-11-01,854232,6600994000
2018-12-01,850423,29650000
2018-12-01,850760,359743000
2018-12-01,8542,6989097000
2018-12-01,854232,4944100000
2019-01-01,850423,29846000
2019-01-01,850760,405084000
2019-01-01,8542,6178164000
2019-01-01,854232,3999220000
2019-02-01,850423,23534000
2019-02-01,850760,340860000
2019-02-01,8542,5695098000
2019-02-01,854232,3811011000
2019-03-01,850423,31591000
2019-03-01,850760,416825000
2019-03-01,8542,7481028000
2019-03-01,854232,5464476000
2019-04-01,850423,21172000
2019-04-01,850760,401006000
2019-04-01,8542,7124799000
2019-04-01,854232,4984560000
2019-05-01,850423,41098000
2019-05-01,850760,389153000
2019-05-01,8542,6238358000
2019-05-01,854232,4380815000
2019-06-01,850423,48788000
2019-06-01,850760,354138000
2019-06-01,8542,7025616000
2019-06-01,854232,5003659000
2019-07-01,850423,23800000
2019-07-01,850760,375877000
2019-07-01,8542,6397857000
2019-07-01,854232,4107756000
2019-08-01,850423,32605000
2019-08-01,850760,416496000
2019-08-01,8542,6793208000
2019-08-01,854232,4434514000
2019-09-01,850423,27356000
2019-09-01,850760,381793000
2019-09-01,8542,7187462000
2019-09-01,854232,4732247000
2019-10-01,850423,38711000
2019-10-01,850760,392436000
2019-10-01,8542,6669670000
2019-10-01,854232,4196111000
2019-11-01,850423,49786000
2019-11-01,850760,354835000
2019-11-01,8542,6207504000
2019-11-01,854232,4048577000
2019-12-01,850423,38041000
2019-12-01,850760,449059000
2019-12-01,8542,6077768000
2019-12-01,854232,3998808000
2020-01-01,850423,10714000
2020-01-01,850760,354552000
2020-01-01,8542,6116206000
2020-01-01,854232,3586633000
2020-02-01,850423,27098000
2020-02-01,850760,355650000
2020-02-01,8542,6265464000
2020-02-01,854232,3864270000
2020-03-01,850423,48223000
2020-03-01,850760,399709000
2020-03-01,8542,7222833000
2020-03-01,854232,4547407000
2020-04-01,850423,39499000
2020-04-01,850760,360082000
2020-04-01,8542,5735664000
2020-04-01,854232,3867027000
2020-05-01,850423,20026000
2020-05-01,850760,377539000
2020-05-01,8542,6634491000
2020-05-01,854232,4676079000
2020-06-01,850423,25801000
2020-06-01,850760,364833000
2020-06-01,8542,6725177000
2020-06-01,854232,4562631000
2020-07-01,850423,29655000
2020-07-01,850760,356583000
2020-07-01,8542,6634878000
2020-07-01,854232,4159849000
2020-08-01,850423,13364000
2020-08-01,850760,426396000
2020-08-01,8542,7032612000
2020-08-01,854232,4301429000
2020-09-01,850423,31056000
2020-09-01,850760,503628000
2020-09-01,8542,7844779000
2020-09-01,854232,4976137000
2020-10-01,850423,23027000
2020-10-01,850760,457583000
2020-10-01,8542,7453430000
2020-10-01,854232,4612888000
2020-11-01,850423,27446000
2020-11-01,850760,455908000
2020-11-01,8542,7363796000
2020-11-01,854232,4362092000
2020-12-01,850423,60261000
2020-12-01,850760,466236000
2020-12-01,8542,7855025000
2020-12-01,854232,4841980000
2021-01-01,850423,19009000
2021-01-01,850760,404045000
2021-01-01,8542,7369203000
2021-01-01,854232,4432809000
2021-02-01,850423,28510000
2021-02-01,850760,394159000
2021-02-01,8542,7197469000
2021-02-01,854232,4475772000
2021-03-01,850423,46751000
2021-03-01,850760,510292000
2021-03-01,8542,8142641000
2021-03-01,854232,5213678000
2021-04-01,850423,27238000
2021-04-01,850760,463298000
2021-04-01,8542,7884261000
2021-04-01,854232,4918902000
2021-05-01,850423,8092000
2021-05-01,850760,487700000
2021-05-01,8542,8663511000
2021-05-01,854232,5616592000
2021-06-01,850423,26555000
2021-06-01,850760,544530000
2021-06-01,8542,9512805000
2021-06-01,854232,6347071000
2021-07-01,850423,25680000
2021-07-01,850760,529436000
2021-07-01,8542,9272408000
2021-07-01,854232,5902215000
2021-08-01,850423,28001000
2021-08-01,850760,474126000
2021-08-01,8542,10034268000
2021-08-01,854232,6444266000
2021-09-01,850423,6879000
2021-09-01,850760,498874000
2021-09-01,8542,10527185000
2021-09-01,854232,6746950000
2021-10-01,850423,10348000
2021-10-01,850760,456481000
2021-10-01,8542,9618445000
2021-10-01,854232,5858840000
2021-11-01,850423,24961000
2021-11-01,850760,489350000
2021-11-01,8542,10328898000
2021-11-01,854232,6391586000
2021-12-01,850423,32188000
2021-12-01,850760,507168000
2021-12-01,8542,10745587000
2021-12-01,854232,6828535000
2022-01-01,850423,17311000
2022-01-01,850760,473848000
2022-01-01,8542,9440305000
2022-01-01,854232,5540303000
2022-02-01,850423,26319000
2022-02-01,850760,467712000
2022-02-01,8542,8957655000
2022-02-01,854232,5312903000
2022-03-01,850423,13535000
2022-03-01,850760,595185000
2022-03-01,8542,11267855000
2022-03-01,854232,6778292000
2022-04-01,850423,28161000
2022-04-01,850760,559197000
2022-04-01,8542,9369479000
2022-04-01,854232,5328852000
2022-05-01,850423,26838000
2022-05-01,850760,605291000
2022-05-01,8542,9904711000
2022-05-01,854232,6038450000
2022-06-01,850423,34111000
2022-06-01,850760,591237000
2022-06-01,8542,10612180000
2022-06-01,854232,6402474000
2022-07-01,850423,38634000
2022-07-01,850760,660041000
2022-07-01,8542,9987956000
2022-07-01,854232,5270134000
2022-08-01,850423,28802000
2022-08-01,850760,744502000
2022-08-01,8542,9664679000
2022-08-01,854232,4967317000
2022-09-01,850423,50321000
2022-09-01,850760,740237000
2022-09-01,8542,9874238000
2022-09-01,854232,5337767000
2022-10-01,850423,18228000
2022-10-01,850760,607858000
2022-10-01,8542,8377036000
2022-10-01,854232,3963443000
2022-11-01,850423,62800000
2022-11-01,850760,533733000
2022-11-01,8542,7686486000
2022-11-01,854232,3430391000
2022-12-01,850423,39014000
2022-12-01,850760,762162000
2022-12-01,8542,7704581000
2022-12-01,854232,3407362000
2023-01-01,850423,51592000
2023-01-01,850760,612171000
2023-01-01,8542,5424534000
2023-01-01,854232,2490438000
2023-02-01,850423,52773000
2023-02-01,850760,659718000
2023-02-01,8542,5329421000
2023-02-01,854232,2611223000
2023-03-01,850423,47165000
2023-03-01,850760,654371000
2023-03-01,8542,7405308000
2023-03-01,854232,3742664000
2023-04-01,850423,50340000
2023-04-01,850760,568821000
2023-04-01,8542,5762709000
2023-04-01,854232,2620417000
2023-05-01,850423,65144000
2023-05-01,850760,586085000
2023-05-01,8542,6687921000
2023-05-01,854232,3024481000
2023-06-01,850423,43072000
2023-06-01,850760,719295000
2023-06-01,8542,7832258000
2023-06-01,854232,4033804000
2023-07-01,850423,63635000
2023-07-01,850760,520164000
