month,market,code,name,revenue_k_twd
2005-01-01,sii,1609,大亞電線,505810.0
2005-01-01,sii,1611,中電,294933.0
2005-01-01,sii,1612,宏泰,381936.0
2005-01-01,sii,1613,台一,313306.0
2005-01-01,sii,1614,三洋電,988631.0
2005-01-01,sii,1615,大山,153177.0
2005-01-01,sii,1616,億泰,262582.0
2005-01-01,sii,1617,榮星電線,368549.0
2005-01-01,sii,1618,合機公司,188220.0
2005-01-01,sii,1701,中化,218520.0
2005-01-01,sii,1702,南僑化工,146447.0
2005-01-01,sii,1704,榮化,954842.0
2005-01-01,sii,1707,葡萄王,66559.0
2005-01-01,sii,1708,東鹼,83915.0
2005-01-01,sii,1709,和益化工,262052.0
2005-01-01,sii,1710,東聯,1033326.0
2005-01-01,sii,1711,永光化學,312897.0
2005-01-01,sii,1712,興農,721504.0
2005-01-01,sii,1713,國化,64634.0
2005-01-01,sii,1714,和桐化學,23360.0
2005-01-01,sii,1715,亞洲化學,401289.0
2005-01-01,sii,1716,永信藥品,309474.0
2005-01-01,sii,1717,長興化學,1214150.0
2005-01-01,sii,1718,中纖,1278142.0
2005-01-01,sii,1720,生達化學,160829.0
2005-01-01,sii,1721,三晃,60581.0
2005-01-01,sii,1722,台肥,712747.0
2005-01-01,sii,1723,中碳,340768.0
2005-01-01,sii,1724,台硝,135454.0
2005-01-01,sii,1725,元禎,942663.0
2005-01-01,sii,1726,永記造漆,523057.0
2005-01-01,sii,1727,中華化學,85464.0
2005-01-01,sii,1729,必翔實業,123259.0
2005-01-01,sii,1730,花仙子,91579.0
2005-01-01,sii,1731,美吾華,411390.0
2005-01-01,sii,1732,毛寶,46692.0
2005-01-01,sii,1733,五鼎,54318.0
2005-01-01,sii,1734,杏輝藥品,122902.0
2005-01-01,sii,1735,日勝化,112734.0
2005-01-01,sii,1736,喬山健康,484767.0
2005-01-01,sii,1737,臺鹽,276929.0
2005-01-01,sii,4106,雃博,64674.0
2005-01-01,sii,4119,旭富製藥,45450.0
2005-01-01,sii,1802,台玻,1292252.0
2005-01-01,sii,1805,凱聚,788.0
2005-01-01,sii,1806,冠軍,210231.0
2005-01-01,sii,1807,羅馬,87917.0
2005-01-01,sii,1808,國賓大地,33130.0
2005-01-01,sii,1809,中釉,127541.0
2005-01-01,sii,1810,和成,301236.0
2005-01-01,sii,1902,台紙,514647.0
2005-01-01,sii,1903,士紙,152341.0
2005-01-01,sii,1904,正隆,1806667.0
2005-01-01,sii,1905,華紙,464752.0
2005-01-01,sii,1906,寶隆,110477.0
2005-01-01,sii,1907,永豐餘,2262692.0
2005-01-01,sii,1909,榮成,448076.0
2005-01-01,sii,2002,中鋼,16161537.0
2005-01-01,sii,2006,東和鋼鐵,2458274.0
2005-01-01,sii,2007,燁興公司,639747.0
2005-01-01,sii,2008,高興昌,1326101.0
2005-01-01,sii,2009,第一伸銅,361060.0
2005-01-01,sii,2010,春源鋼鐵,1566082.0
2005-01-01,sii,2012,春雨,325533.0
2005-01-01,sii,2013,中鋼構,942577.0
2005-01-01,sii,2014,中鴻,4531682.0
2005-01-01,sii,2015,豐興鋼鐵,2214380.0
2005-01-01,sii,2017,嘉益工業,632153.0
2005-01-01,sii,2020,美亞鋼管,443784.0
2005-01-01,sii,2022,聚亨,71408.0
2005-01-01,sii,2023,燁輝,3103665.0
2005-01-01,sii,2024,志聯工業,122243.0
2005-01-01,sii,2025,千興,348184.0
2005-01-01,sii,2027,大成鋼,513350.0
2005-01-01,sii,2028,威致鋼鐵,779635.0
2005-01-01,sii,2029,盛餘,1814161.0
2005-01-01,sii,2030,彰源,479124.0
2005-01-01,sii,2031,新光鋼,621414.0
2005-01-01,sii,2032,新鋼工業,302583.0
2005-01-01,sii,2033,佳大世界,115670.0
2005-01-01,sii,2034,允強,719106.0
2005-01-01,sii,2101,南港輪胎,673943.0
2005-01-01,sii,2102,泰豐輪胎,358988.0
2005-01-01,sii,2103,台橡,896767.0
2005-01-01,sii,2104,中橡,239426.0
2005-01-01,sii,2105,正新,1084608.0
2005-01-01,sii,2106,建大,326354.0
2005-01-01,sii,2107,厚生,96395.0
2005-01-01,sii,2108,南帝化工,221369.0
2005-01-01,sii,2109,華豐橡膠,194009.0
2005-01-01,sii,2201,裕隆汽車,7981688.0
2005-01-01,sii,2204,中華汽車,8912919.0
2005-01-01,sii,2206,三陽工業,2097739.0
2005-01-01,sii,2207,和泰汽車,12944823.0
2005-01-01,sii,2227,裕隆日產,9333088.0
2005-01-01,sii,1435,中福,39131.0
2005-01-01,sii,1437,勤益,96935.0
2005-01-01,sii,1453,大將電子,15498.0
2005-01-01,sii,1471,首利,331990.0
2005-01-01,sii,1604,聲寶,1390697.0
2005-01-01,sii,2301,光寶科技,10930832.0
2005-01-01,sii,2302,麗正,76474.0
2005-01-01,sii,2303,聯電,7137916.0
2005-01-01,sii,2305,全友電腦,264374.0
2005-01-01,sii,2308,達電,4628243.0
2005-01-01,sii,2311,日月光,3977683.0
2005-01-01,sii,2312,金寶電子,957818.0
2005-01-01,sii,2313,華通,1198219.0
2005-01-01,sii,2314,台揚科技,319097.0
2005-01-01,sii,2315,神達,6577407.0
2005-01-01,sii,2316,楠梓電,775905.0
2005-01-01,sii,2317,鴻海,44199384.0
2005-01-01,sii,2321,東訊,906625.0
2005-01-01,sii,2323,中環,2165841.0
2005-01-01,sii,2324,仁寶電腦,17337694.0
2005-01-01,sii,2325,矽品,2861122.0
2005-01-01,sii,2326,亞瑟,72119.0
2005-01-01,sii,2327,國巨,719483.0
2005-01-01,sii,2328,廣宇,799653.0
2005-01-01,sii,2329,華泰電子,970910.0
2005-01-01,sii,2330,台積電,20842779.0
2005-01-01,sii,2331,精英,1085251.0
2005-01-01,sii,2332,友訊科技,1315208.0
2005-01-01,sii,2333,碧悠,425993.0
2005-01-01,sii,2335,清三電子,59607.0
2005-01-01,sii,2336,致伸,2073134.0
2005-01-01,sii,2337,旺宏,1245801.0
2005-01-01,sii,2338,光罩,203890.0
2005-01-01,sii,2340,光磊,362896.0
2005-01-01,sii,2341,英群Q,830296.0
2005-01-01,sii,2342,茂矽,1950149.0
2005-01-01,sii,2343,精業,648285.0
2005-01-01,sii,2344,華邦電,1929900.0
2005-01-01,sii,2345,智邦科技,1219646.0
2005-01-01,sii,2347,聯強國際,5024399.0
2005-01-01,sii,2348,力廣,177936.0
2005-01-01,sii,2349,錸德科技,1408769.0
2005-01-01,sii,2350,環電,2984455.0
2005-01-01,sii,2351,順德,249541.0
2005-01-01,sii,2352,明基,9154281.0
2005-01-01,sii,2353,宏,12341137.0
2005-01-01,sii,2354,鴻準,5676155.0
2005-01-01,sii,2355,敬鵬,615094.0
2005-01-01,sii,2356,英業達,9561281.0
2005-01-01,sii,2357,華碩,6435890.0
2005-01-01,sii,2358,美格,156977.0
2005-01-01,sii,2359,所羅門,561254.0
2005-01-01,sii,2360,致茂電子,497272.0
2005-01-01,sii,2361,鴻友科技,339192.0
2005-01-01,sii,2362,藍天,883954.0
2005-01-01,sii,2363,矽統科技,946116.0
2005-01-01,sii,2364,倫飛電腦,610126.0
2005-01-01,sii,2365,昆盈企業,713520.0
2005-01-01,sii,2366,亞旭電腦,2130779.0
2005-01-01,sii,2367,燿華,590072.0
2005-01-01,sii,2368,金像電,731539.0
2005-01-01,sii,2369,菱生,306415.0
2005-01-01,sii,2371,大同,5323512.0
2005-01-01,sii,2373,震旦行,755941.0
2005-01-01,sii,2374,佳能,1026221.0
2005-01-01,sii,2375,智寶,48482.0
2005-01-01,sii,2376,技嘉,3169379.0
2005-01-01,sii,2377,微星科技,5235156.0
2005-01-01,sii,2378,鴻運電子,114449.0
2005-01-01,sii,2379,瑞昱,803849.0
2005-01-01,sii,2380,虹光精密,302445.0
2005-01-01,sii,2381,華宇電腦,2593107.0
2005-01-01,sii,2382,廣達,25109752.0
2005-01-01,sii,2383,台光電子,152767.0
2005-01-01,sii,2384,勝華科技,4020824.0
2005-01-01,sii,2385,群光電子,1100013.0
