code,g,z
1101,0.1334063070313265,-0.07672078070623481
1102,-0.03682321790277465,-0.2731176984148868
1103,-0.04630977272110137,-0.2510899968225606
1104,-0.06424009559152244,-0.7486473869117926
1108,-0.1859792526357582,-1.072150737919517
1109,-0.2218488232149417,-0.7666923698169854
1110,-0.007774195585637078,-0.1809207139253077
1201,0.04602783695686763,-0.05011815537567208
1203,-0.016996443020890983,-0.26762061077725535
1210,0.1563347500605219,-0.018399493563922214
1213,0.20243551776256763,0.4639564490584871
1215,0.05986176202916771,0.010343528937677154
1216,0.05713759562898746,-0.21198204949124325
1217,0.06437934949540369,0.4928220234303025
1218,-0.3363383979968355,-3.0779544475818814
1219,-0.11415458557040781,-1.2576016923059592
1220,0.12603363048349214,0.6185439408313224
1225,-0.10396909494533768,-0.9712131953843454
1227,0.059256149929926005,-0.1720375151266752
1229,-0.029255531963706005,-0.5691617668844894
1231,0.05735845301263365,-0.21002817841896612
1232,0.31242484015317307,1.5957221373457449
1233,0.10763123245868256,1.103861489320626
1234,-0.005759368962370726,-0.4425281779400954
1235,-0.4609885897262437,-0.7688773370484069
1236,0.12151224438273167,0.8046310180157318
1240,0.1542687245091332,0.3735350179163646
1259,0.06033183478160309,0.4491523716086885
1264,0.09281592855178111,0.25244756881873287
1268,0.21104010909516102,0.19480012740575875
1294,0.040094207081879496,-0.7905251673123274
1295,0.16584580746161026,0.2021006074422856
1301,0.028534395121909473,-0.020907407040082177
1303,0.4107711491336534,1.2891762742075799
1304,-0.08414206341145036,-0.31820661549802487
1305,-0.2860167749120035,-1.203667866174334
1307,0.10978123577722654,0.2683805293931201
1308,0.13548845596660275,0.3367335442425226
1309,-0.20066539683561468,-0.7728404094211021
1310,-0.08488647788333681,-0.3299954740873775
1312,0.2589119904934143,0.5209124115771724
1313,0.024835000085407177,-0.2380444866223344
1314,-0.3029450984734141,-0.7526767872402402
1315,-0.03463548520509829,-0.14833796418863152
1316,0.9891556462170568,0.269799101356735
1319,0.10782775348177331,0.22593604102247533
1321,0.007995879339311562,0.0482954293517491
1323,0.2348572019736468,0.8015479687247332
1324,-0.18372533146046333,-1.3742086907685125
1325,-0.14528279325600857,-0.25952978645590113
1326,0.2551533652869973,0.7395369674524669
1336,0.470770153566338,1.0675607726345429
1339,0.04473174618318154,0.013407750534220546
1342,0.5899298580476378,2.18510421275187
1402,0.15869565960806886,-0.022624577003060496
1409,0.17974910508882913,0.5376714128163006
1410,0.08698603144020667,0.3206515688959147
1413,0.08246407333994044,0.14277240407382205
1414,-0.09039388727549558,-0.11711008604360561
1416,0.620506507210693,-0.012035323011057216
1417,-0.19341429533591514,-0.5607123271635563
1418,38.32692307692308,14.926332692286527
1419,0.16481140334288713,0.25691946187515435
1423,0.5198701097881553,1.9915951290251492
1432,-0.3850679702520904,-0.10880321594442605
1434,-0.03384122862250227,-0.3069281990353762
1435,0.0006684491978610207,0.0047929751312620434
1436,-0.8752185147736209,-0.20714132022600984
1437,0.014087316097035618,0.0010432863526624017
1438,456.0276073619632,-0.14885009394353071
1439,-0.7687879876427904,-0.49912759269293194
1440,-0.00014423078338210438,-0.08364145456967419
1441,-0.2771583226692076,-1.1794555467025107
1442,0.3066154367873992,-0.09153231602605923
1443,-0.0336431092860745,-0.26801496472866837
1444,0.007200896244088595,-0.10365278083051223
1445,-0.1009318761122765,-0.31353799372026814
1446,-0.49334951655662374,-0.24593339005739034
1447,0.03903301688471594,-0.13406729541084741
1449,0.6245319553212587,1.9872506561216334
1451,0.2040535631030429,0.9862289266890931
1452,-0.08105697204565321,-0.3281334108373315
1453,-0.03966005665722383,-0.24084150517390945
1454,-0.2546916470692523,-1.2098603430303105
1455,-0.046973340226862614,-0.2178744525903535
1456,7.0203818134622455,5.017917766769129
1457,0.011469262148429138,-0.046573310626342665
1459,-0.06327582343714988,-0.21234678904928134
1460,0.08009067208366316,0.2618915473077468
