month,code,g,z,a,r3,event_date,name,market,industry,ticker
2013-01-01,1101,1.252845443051489,7.578539163411862,1.2320379233190226,13125037.0,2013-02-11,台泥,sii,Cement,1101.TW
2013-07-01,1101,3.8056031852131706,4.125027293150879,0.5448422681784963,28937300.0,2013-08-11,台泥,sii,Cement,1101.TW
2010-12-01,1102,0.3233682482437028,3.678274729078859,0.43897001372804045,3030950.0,2011-01-11,亞泥,sii,Cement,1102.TW
2011-08-01,1102,0.32641167502097646,2.8574824721974545,0.21851236975218513,2739572.0,2011-09-11,亞泥,sii,Cement,1102.TW
2013-01-01,1102,1.921107303655122,7.824331422614275,1.87927342453705,8201444.0,2013-02-11,亞泥,sii,Cement,1102.TW
2013-07-01,1102,5.484535271481094,4.518929315380623,1.8169591474871218,18134794.0,2013-08-11,亞泥,sii,Cement,1102.TW
2012-06-01,1103,1.0386145606497559,4.125109709373695,1.4024739969729603,346381.0,2012-07-11,嘉泥,sii,Cement,1103.TW
2013-05-01,1103,1.9440574972521372,2.1623098380986376,0.6356572288339741,1033900.0,2013-06-11,嘉泥,sii,Cement,1103.TW
2013-11-01,1103,2.7842830713141002,2.6661005475136816,0.9307336433293538,1253873.0,2013-12-11,嘉泥,sii,Cement,1103.TW
2010-01-01,1104,0.3797100298545386,3.420137862652923,0.2951686047938433,868831.0,2010-02-11,環泥,sii,Cement,1104.TW
2013-01-01,1104,0.40126521551349636,2.959477118299308,0.3407513801565658,1112847.0,2013-02-11,環泥,sii,Cement,1104.TW
2013-07-01,1104,0.6052983165050938,3.3687303190618576,0.33791711331708285,1276042.0,2013-08-11,環泥,sii,Cement,1104.TW
2013-01-01,1108,0.4980453228227626,3.6781763555588096,0.47002301281199066,1119696.0,2013-02-11,幸福,sii,Cement,1108.TW
2013-07-01,1108,0.3885463450179718,2.1553110080165627,0.04199773093911996,1189065.0,2013-08-11,幸福,sii,Cement,1108.TW
2020-04-01,1108,0.5062547205438066,2.782691295832743,0.40124896867363646,1212523.0,2020-05-11,幸福,sii,Cement,1108.TW
2022-10-01,1108,0.4283167956418319,2.2964134753506604,0.42881701757127944,1137890.0,2022-11-11,幸福,sii,Cement,1108.TW
2011-05-01,1109,0.3199528081976728,2.6579392123320953,0.28094215380312737,416193.0,2011-06-11,信大,sii,Cement,1109.TW
2013-01-01,1109,0.658362822468006,3.3271385400910938,0.4679913773619593,672025.0,2013-02-11,信大,sii,Cement,1109.TW
2013-07-01,1109,1.115879699387127,3.001308373928956,0.08521563991475167,915575.0,2013-08-11,信大,sii,Cement,1109.TW
2012-09-01,1110,0.31734258747713207,3.390806044621745,0.3905870492729444,398205.0,2012-10-11,東泥,sii,Cement,1110.TW
2013-05-01,1110,0.31622753859935715,2.4032068122030883,0.21936455530077859,499561.0,2013-06-11,東泥,sii,Cement,1110.TW
