code,industry,market
2101,Rubber,sii
2102,Rubber,sii
2103,Rubber,sii
2104,Rubber,sii
2105,Rubber,sii
2106,Rubber,sii
2107,Rubber,sii
2108,Rubber,sii
2109,Rubber,sii
2114,Rubber,sii
6582,Rubber,sii
1319,Automotive,sii
1339,Automotive,sii
1512,Automotive,sii
1521,Automotive,sii
1522,Automotive,sii
1524,Automotive,sii
1525,Automotive,sii
1533,Automotive,sii
1536,Automotive,sii
1563,Automotive,sii
1568,Automotive,sii
1587,Automotive,sii
2201,Automotive,sii
2204,Automotive,sii
2206,Automotive,sii
2207,Automotive,sii
2227,Automotive,sii
2228,Automotive,sii
2231,Automotive,sii
2233,Automotive,sii
2237,Automotive,sii
2241,Automotive,sii
2247,Automotive,sii
2254,Automotive,sii
2258,Automotive,sii
2497,Automotive,sii
3346,Automotive,sii
4551,Automotive,sii
6605,Automotive,sii
6988,Automotive,sii
7732,Automotive,sii
7736,Automotive,sii
2302,Semiconductors,sii
2303,Semiconductors,sii
2329,Semiconductors,sii
2330,Semiconductors,sii
2337,Semiconductors,sii
2338,Semiconductors,sii
2340,Semiconductors,sii
2342,Semiconductors,sii
2344,Semiconductors,sii
2351,Semiconductors,sii
2363,Semiconductors,sii
2369,Semiconductors,sii
2379,Semiconductors,sii
2388,Semiconductors,sii
2401,Semiconductors,sii
2408,Semiconductors,sii
2434,Semiconductors,sii
2436,Semiconductors,sii
2441,Semiconductors,sii
2449,Semiconductors,sii
2451,Semiconductors,sii
2454,Semiconductors,sii
2458,Semiconductors,sii
2481,Semiconductors,sii
3006,Semiconductors,sii
3014,Semiconductors,sii
3016,Semiconductors,sii
3034,Semiconductors,sii
3035,Semiconductors,sii
3041,Semiconductors,sii
3094,Semiconductors,sii
3135,Semiconductors,sii
3150,Semiconductors,sii
3189,Semiconductors,sii
3257,Semiconductors,sii
3413,Semiconductors,sii
3443,Semiconductors,sii
3450,Semiconductors,sii
3530,Semiconductors,sii
3532,Semiconductors,sii
3545,Semiconductors,sii
3583,Semiconductors,sii
3588,Semiconductors,sii
3592,Semiconductors,sii
3686,Semiconductors,sii
3711,Semiconductors,sii
4919,Semiconductors,sii
