code,name_en
2338,TMC
2340,TASC
2342,MVI
2344,WEC
2345,ACCTON
2347,Synnex
2348,Hiyes
2349,RITEK
2351,SDI
2352,Qisda
2353,ACER
2354,FTC
2355,CHIN-POON
2356,INVENTEC
2357,ASUSTEK
2359,SOLOMON
2360,CHROMA
2362,CLEVO CO.
2363,SiS
2364,Twinhead
2365,KYE
2367,UNITECH
2368,GCE
2369,LPI
2371,TATUNG COMPANY
2373,Aurora
2374,ABILITY
2375,KAIMEI
2376,GIGABYTE
2377,MSI
2379,RT
2380,AVISION
2382,QCI
2383,EMC
2385,CHICONY
2387,SUNREX
2388,VIA
2390,EVERSPRING
2392,FOXLINK
2393,EVERLIGHT
2395,Advantech
2397,DFI Inc.
2399,BIOSTAR
2401,SUNPLUS
2402,ICHIA
2404,UIS
2405,Shuttle
2406,GSC
2408,NTC
2409,AUO
2412,CHT
2413,UMEC
2414,UT
2415,CX TECH
2417,AVERMEDIA
2419,H.T.
2420,ZIPPY
2421,SUNON
2423,GW
2424,LUNG HWA
2425,CHAINTECH
2426,TYNTEK
2427,MDS
2428,THINKING
2429,PWT
2430,TKE
2431,LIEN CHANG
2432,AGT
2433,HUXEN
2434,MOSPEC
2436,Weltrend
2438,ENLIGHT
2439,MERRY
2440,SPACE SHUTTLE
2441,GTK
2442,JEAN
2444,AboCom
2449,KYEC
2450,SENAO
2451,Transcend
2453,SYSCOM
2454,MediaTek
2455,VPEC
2457,PHIHONG
2458,ELAN
2459,AUDIX
2460,GEM
2461,K LASER
2462,LINETEK
2464,Mirle
2465,LEADTEK
2466,COSMO
2467,C SUN
2468,FIS
2471,ARES
2472,LELON
2474,CATCHER
2476,GS
2477,MEILOON
2478,TA-I
2480,STARK
2481,PANJIT
2482,UIC
2483,ECE
2484,SIWARD
2485,ZINWELL
2486,I-CHIUN
2488,HANPIN
2489,AMTRAN
2491,FOCL
2492,WTC
2493,AMPOC
2495,Infortrend
2496,SPC
2497,E-LEAD
2498,HTC
2501,CATHAY RED
2504,GBM
2505,ky
2506,PCC
2509,CHAINQUI
2511,PHD
2514,LONG BON
2515,BES
2516,New Asia
2520,KINDOM
2524,KTC
2527,Hung Ching
2528,CROWELL
2530,DELPHA
2534,HSC
2535,DA-CIN
2536,Hong Pu
2537,WE & WIN
2538,KeeTai
2539,SAKURAD
2540,JSL
2542,Highwealth
2543,HWANG CHANG
2545,HUANG HSIANG
2546,KEDGE
2547,RADIUM
2548,HUAKU
2596,ReaLy Development & Construction
2597,REC
2601,FSC
2603,EMC
2605,SNC
2606,U-MING
2607,EITC
2608,Kerry TJ
2609,YMTC
2610,CAL
2611,TSI
2612,CMT
2613,CCTC
2614,EMIC
2615,WANHAI
2616,SLC
2617,TNC
2618,EVAAIR
2630,AACL
2633,THSRC
2634,AIDC
2636,T3EX
2637,WISDOM
2640,Taiwan Taxi
2641,Franbo Lines
2642,Pelican
2643,Soonest Express
2645,EGAT
2646,STARLUX AIR
2701,WANHWA
2702,HG
2704,AMBH
2705,LEOFOO
2706,FIRST HOTEL
2707,GFRT
2712,FGH
2718,Allmind
2719,TSG Star Travel
2722,Chateau
2723,Gourmet
2727,WOWPRIME
2729,TTFB
2731,Liontravel
2732,La Kaffa International
2734,Ezfly International Travel Agent
2736,HOYA Resort Hotel Group
2739,My Humble House
2740,Hua Hsuan Real Estate
2743,Richmond International Travel & Tours
2745,Life Travel & Tourist Service
2748,FDC
2751,KINGZA International
2752,Tofu Restaurant
