month,850421,850422,850423,850440,853720
2013-01-01,17429569.0,10729521.0,102614387.0,657538182.0,20056614.0
2013-02-01,15605137.0,11688543.0,87646890.0,598803719.0,20933855.0
2013-03-01,21408539.0,7128968.0,76385137.0,606322317.0,17984396.0
2013-04-01,24307129.0,9013753.0,82844992.0,647363741.0,32751746.0
2013-05-01,24840961.0,10709639.0,63818729.0,698907577.0,27301729.0
2013-06-01,20505412.0,14059007.0,87779057.0,677286113.0,29677560.0
2013-07-01,24655296.0,17663612.0,68288457.0,748256455.0,22552174.0
2013-08-01,22840376.0,14969564.0,130287039.0,720302993.0,19159486.0
2013-09-01,27469737.0,14582190.0,98197968.0,729051756.0,33674831.0
2013-10-01,18973314.0,18705924.0,74913809.0,756850542.0,18701049.0
2013-11-01,19513072.0,14504443.0,71629394.0,712442704.0,20455704.0
2013-12-01,25272278.0,13139077.0,80478475.0,728535093.0,39800555.0
2014-01-01,21715148.0,8745256.0,121215738.0,733966389.0,21995656.0
2014-02-01,17465668.0,17015947.0,72849226.0,605354995.0,22635669.0
2014-03-01,22331289.0,13679819.0,63831503.0,678497695.0,40058331.0
2014-04-01,25945025.0,11857667.0,73501438.0,745123886.0,15023080.0
2014-05-01,28331570.0,15593643.0,70322401.0,759529315.0,20280855.0
2014-06-01,24559541.0,17165993.0,73758048.0,798201193.0,24447710.0
2014-07-01,26963692.0,18553230.0,141995431.0,785673703.0,37224317.0
2014-08-01,20747621.0,14760211.0,96662178.0,764288801.0,23818646.0
2014-09-01,23316232.0,17998303.0,63684919.0,796250516.0,25330567.0
2014-10-01,31323244.0,17109298.0,60512759.0,810590703.0,29699863.0
2014-11-01,24978431.0,14015053.0,71529743.0,779281543.0,20620922.0
2014-12-01,28270090.0,15886547.0,72656216.0,819214501.0,25523869.0
2015-01-01,22353826.0,16917308.0,60409975.0,723054311.0,19969402.0
2015-02-01,21637448.0,10427942.0,70123015.0,627244764.0,18975096.0
2015-03-01,22764733.0,18251064.0,94971765.0,870752628.0,25915814.0
2015-04-01,25530986.0,18761759.0,94829528.0,804388002.0,12283810.0
2015-05-01,22683418.0,18081645.0,55635432.0,781556125.0,49670551.0
2015-06-01,26403533.0,21181863.0,59031351.0,797343413.0,34402386.0
2015-07-01,23348116.0,21287744.0,92099659.0,787087999.0,23311932.0
2015-08-01,20442866.0,14941858.0,135154569.0,805020553.0,26584877.0
2015-09-01,21849970.0,17394949.0,113382399.0,809850979.0,26185993.0
2015-10-01,21832227.0,18214857.0,104209553.0,808674598.0,21822762.0
2015-11-01,21440715.0,14661977.0,78346045.0,785165688.0,18615850.0
2015-12-01,20354407.0,15851579.0,68892260.0,774764625.0,29933144.0
2016-01-01,22442178.0,14448675.0,111656559.0,749482930.0,18581510.0
2016-02-01,20514132.0,16271298.0,104592904.0,712741303.0,24975908.0
2016-03-01,22180480.0,17128642.0,81346701.0,736596290.0,31458363.0
2016-04-01,23021667.0,19844371.0,87525313.0,736894283.0,26382674.0
2016-05-01,22524375.0,24309474.0,78599003.0,748513428.0,23613724.0
2016-06-01,19815836.0,23537795.0,80076075.0,752957884.0,49189299.0
2016-07-01,18767935.0,16950821.0,65826946.0,739358954.0,38407587.0
2016-08-01,19436785.0,17753658.0,98891523.0,822961850.0,38826779.0
2016-09-01,19341508.0,16841804.0,80295949.0,750271722.0,29820329.0
2016-10-01,17042798.0,13709292.0,68428896.0,783537306.0,17720871.0
2016-11-01,20532023.0,11012115.0,95863131.0,781955389.0,18128977.0
2016-12-01,21058667.0,16983950.0,67594818.0,746837206.0,16239921.0
2017-01-01,20012910.0,11060644.0,73289484.0,722485303.0,19303882.0
2017-02-01,14143418.0,10040782.0,81939519.0,634410865.0,28977336.0
2017-03-01,22903463.0,13748927.0,70667231.0,819132067.0,20224241.0
2017-04-01,21154979.0,10665500.0,56841963.0,741678969.0,24589369.0
2017-05-01,20056498.0,13042583.0,90101408.0,799732702.0,22621677.0
2017-06-01,21660485.0,13262216.0,39981887.0,802268885.0,22416600.0
2017-07-01,22528059.0,16873587.0,84344363.0,792313972.0,39077696.0
